Red Fighter,Blue Fighter,Probability Win,Probability Lose
Piotr Hallmann,Garett Whiteley,0.4896990449782042,0.5056978973368302
Garett Whiteley,Piotr Hallmann,0.3779778324559137,0.6173243840324861
